16:33:50 : INFO | FPS: 390, deltatime: 0.002564
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : DEBUG | Spawning player with id : a1df14bf3d
16:33:50 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
16:33:50 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
16:33:50 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
16:33:50 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
16:33:50 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : MAJOR | No animation to start
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:50 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
16:33:51 : INFO | FPS: 62, deltatime: 0.016000
